pert_id,pert_iname
brd-k11153516,iniparib
brd-k17588104,jq1-(-)
brd-k30632436,ctb
brd-k98251413,iox2
brd-k56301217,abt-737
brd-k32847255,gsk-j1
brd-k32536677,agk-2
brd-k82928847,acy-1215
brd-k13094524,pfi-1
brd-k81418486,vorinostat
brd-k03406345,azacitidine
brd-k21906513,unc-669
brd-k53328210,jw55
brd-k16485616,mocetinostat
brd-k55591206,epigallocatechin-gallate-(-)
brd-k86797399,sb-939
brd-k89391146,rg-108
brd-k94335714,mc1568
brd-k88560311,rucaparib
brd-k12787259,cx-5461
brd-k66989831,anacardic-acid
brd-a58280226,y-27632
brd-k86856088,unc-0638
brd-k82181189,ischemin
brd-k83452553,daminozide
brd-k47029922,tranylcypromine
brd-a01645196,garcinol
brd-k42436189,az-20
brd-a50737080,cgk-733
brd-k09537769,nu-7026
brd-k82484347,gsk-j2
brd-k26756394,ve-821
brd-k14109347,ly-2603618
brd-k05870596,xmd-1499
brd-k50387473,xmd-892
brd-a10523515,gsk-429286a
brd-u86686840,azd-7762
brd-u07805514,saracatinib
brd-u70626184,bi-2536
brd-k83972459,jwe-035
brd-k97056771,gnf-2
brd-k24515980,ql-xi-92
brd-k37764012,pf-03758309
brd-k24859147,kin001-242
brd-k52751261,tak-715
brd-k83963101,mln-8054
brd-k07859598,gw-5074
brd-k01567962,pyrazolanthrone
brd-k02123250,jnj-38877605
brd-k44227013,ponatinib
brd-u24835547,gsk-1059615
brd-k53561341,aurora-a-inhibitor-i
brd-k87904882,chelerythrine
brd-k29983336,rondual-kinase-inhibitor
brd-a37704979,sb-203580
brd-k09132007,d-4476
brd-k53281329,syk-inhibitor
brd-k09951645,dabrafenib
brd-k91900765,vx-745
brd-k79259477,nvp-bhg712
brd-k76969307,cg-930
brd-k47983010,bx-795
brd-k55187425,rigosertib
brd-k11267252,alectinib
brd-k67578145,gdc-0879
brd-k79239947,pf-573228
brd-k41918892,a-769662
brd-k70511574,hmn-214
brd-k79018442,kin001-260
brd-k45746021,cc-401
brd-k70642949,gsk-2334470
brd-k93123848,raf-265
brd-k78790801,kin001-269
brd-a29009894,azd-1480
brd-k72703948,zm-447439
brd-k98143437,sb-239063
brd-k19477839,sgx523
brd-k56277358,mgcd-265
brd-k68191783,alw-ii-38-3
brd-k16730910,regorafenib
brd-k76401790,jnk-in-5a
brd-a29901043,kin001-127
brd-k60219430,serdemetan
brd-k68407802,kin001-055
brd-a92800748,tie2-kinase-inhibitor
brd-a45540146,ki-20227
brd-k17953061,staurosporine
brd-a19500257,geldanamycin
brd-k88378636,withaferin-a
brd-k21680192,mitoxantrone
brd-a39996500,radicicol
brd-a61304759,tanespimycin
cmap-000,untrt
brdn0000585635,luciferase
brdn0000562876,egfp
brdn0000563002,egfp
brdn0000562868,egfp
brdn0000585768,luciferase
brdn0000585800,lacz
brdn0000563266,egfp
brdn0000561170,egfp
brdn0000562787,egfp
brdn0000585793,lacz
brdn0000585515,luciferase
brdn0000562855,egfp
brdn0000562867,egfp
brdn0000562805,egfp
brdn0000585417,lacz
brdn0000562990,egfp
brdn0000585533,luciferase
brdn0000563287,egfp
brdn0000562919,egfp
brdn0001054785,akt2
brdn0001055003,camk1
brdn0001054852,kras
brdn0001054858,crkl
brdn0001055155,igf2bp2
brdn0001054784,crkl
brdn0001054756,ppp2r2c
brdn0001054819,braf
brdn0001055117,pfdn2
brdn0001054833,dido1
brdn0000563943,kras
brdn0001055025,erg
brdn0001054787,rps6
brdn0001054962,aurkb
brdn0001054755,akt1
brdn0000734476,mtor
brdn0001054791,cxcr4
brdn0000734190,mtor
brdn0001054790,chmp2a
brdn0001054767,igf2bp2
brdn0001054978,cxcr4
brdn0000735754,tgfbr1
brdn0000734211,mttp
brdn0000986557,tp53
brdn0000735952,mapkapk2
brdn0000735601,fn1
brdn0000735667,tgfbr2
brdn0001054812,tlk2
brdn0000987887,axl
brdn0000733447,hdac3
brdn0000735986,mapkapk2
brdn0000735625,fn1
brdn0000735580,smad2
brdn0000735964,cic
brdn0000987765,axl
brdn0000733084,hdac1
brdn0000990352,cdh1
brdn0000732954,jun
brdn0001053762,erbb3
brdn0000563548,pik3ca
brdn0001054850,cxcr4
brdn0001055065,pik3ca
brdn0001054918,exo1
brdn0000563803,pik3ca
brdn0001054902,chmp2a
brdn0001054991,rps6
brdn0001054996,exo1
brdn0001054907,kras
brdn0001054911,akt2
brdn0000583152,smad4
brdn0001054849,exo1
brdn0001055150,exo1
brdn0000563497,pik3ca
brdn0001055026,crkl
brdn0001054877,ptp4a1
brdn0001054940,erg
brdn0001054894,pik3ca
brdn0000563793,pik3ca
brdn0000583166,myc
brdn0000987972,axl
brdn0001054844,tlk2
brdn0000735972,keap1
brdn0000733535,bcl2l1
brdn0000733840,ctsk
brdn0000735585,tgfbr1
brdn0000583095,myc
brdn0000735624,smad3
brdn0001054795,tinf2
brdn0000733611,zeb1
brdn0001053773,hdac3
brdn0000734845,krt19
brdn0000986590,myc
brdn0000734843,mttp
brdn0001053845,hdac3
brdn0000734605,acly
brdn0000579778,axl
brdn0000582953,hdac2
brdn0000735617,itga11
brdn0000733107,hdac1
brdn0000734558,ctsk
brdn0001055064,cxcr4
brdn0000734053,mtor
brdn0001054837,dido1
brdn0001054840,rps6
brdn0001054757,chmp2a
brdn0001054949,kras
brdn0001053849,erbb3
brdn0001054905,plxna1
brdn0001054798,plxna1
brdn0001054778,camk1
brdn0001054972,pik3ca
brdn0001054946,aurkb
brdn0001054857,kit
brdn0001055191,braf
brdn0001054913,kit
brdn0001054886,aurkb
brdn0000734637,mtor
brdn0001054801,braf
brdn0001054977,mast4
brdn0001054961,crkl
brdn0001054828,plxna1
brdn0001054985,akt1
brdn0001055021,plxna1
brdn0000733201,hdac1
brdn0000733624,bcl2l1
brdn0000736023,keap1
brdn0000990579,cdh1
brdn0000987775,axl
brdn0000735622,fn1
brdn0000733441,zeb1
brdn0001053789,hdac3
brdn0000735614,smad3
brdn0000735586,tgfbr1
brdn0000735627,smad3
brdn0001054896,tinf2
brdn0001053787,ctsk
brdn0001053786,nf1
brdn0000732977,jun
brdn0000563763,bcl2l1
brdn0001055094,tlk2
brdn0000735220,acly
brdn0001054823,tlk2
brdn0000734854,mttp
brdn0000582685,hdac1
brdn0001053969,ctsk
brdn0001054866,pfdn2
brdn0001055115,akt1
brdn0001054786,aurkb
brdn0001054831,mast4
brdn0001054927,plxna1
brdn0001054950,crkl
brdn0001054773,dido1
brdn0001055165,ptp4a1
brdn0001055244,igf2bp2
brdn0001055012,smad4
brdn0001054788,cxcr4
brdn0001055204,ppp2r2c
brdn0001054982,braf
brdn0001054859,plxna1
brdn0001054968,aurkb
brdn0001054851,rps6
brdn0001054865,akt2
brdn0001054782,smad4
brdn0001055014,egfr
brdn0001054792,mast4
brdn0000583153,myc
brdn0000735656,smad2
brdn0000986728,nf1
brdn0000579817,jun
brdn0000733572,hdac1
brdn0000736148,keap1
brdn0000735669,tgfbr1
brdn0000735607,smad2
brdn0001054920,tinf2
brdn0000734126,fasn
brdn0000735955,insm2
brdn0000735971,mapkapk2
brdn0000582696,hdac2
brdn0000735623,tgfbr2
brdn0000733887,cdh1
brdn0000735659,smad2
brdn0000735995,cic
brdn0000735640,smad2
brdn0000735956,cic
brdn0000734148,krt19
brdn0000733242,hdac2
brdn0000735613,itga11
brdn0000583290,smad4
brdn0000734248,krt19
brdn0001054826,akt2
brdn0001054781,smad4
brdn0001055079,camk1
brdn0001054803,ppp2r2c
brdn0001055091,chmp2a
brdn0001054953,kras
brdn0001054789,cxcr4
brdn0001054827,pfdn2
brdn0001054806,erbb3
brdn0000562846,pik3ca
brdn0001054764,chmp2a
brdn0001054888,pfdn2
brdn0001054809,dido1
brdn0000734493,mtor
brdn0001054983,akt2
brdn0001054793,mast4
brdn0001054770,igf2bp2
brdn0001054880,egfr
brdn0001055080,rps6
brdn0001054864,erbb3
brdn0001054941,ptp4a1
brdn0001055131,akt2
brdn0001054935,pik3ca
brdn0000733677,bcl2l1
brdn0000735587,tgfbr2
brdn0001053766,nf1
brdn0000733923,zeb1
brdn0000736079,cic
brdn0000734551,acly
brdn0000986636,myc
brdn0000736011,keap1
brdn0000735639,itga11
brdn0001054986,tinf2
brdn0000734265,fasn
brdn0000733612,cdh1
brdn0000734049,tp53
brdn0000735397,jun
brdn0000735615,fn1
brdn0000735642,itga11
brdn0000736149,insm2
brdn0000733114,zeb1
brdn0000735641,tgfbr1
brdn0001054914,dido1
brdn0001054760,kit
brdn0001054783,akt1
brdn0001054884,ppp2r2c
brdn0001054908,akt1
brdn0001054774,ptp4a1
brdn0001054042,erbb3
brdn0001055130,crkl
brdn0001054879,dido1
brdn0001054861,pik3ca
brdn0001054960,egfr
brdn0000563708,pik3ca
brdn0001054955,kit
brdn0001054832,chmp2a
brdn0001055001,igf2bp2
brdn0001054971,kit
brdn0001055121,erbb3
brdn0001054846,ptp4a1
brdn0001054768,camk1
brdn0001055059,ppp2r2c
brdn0001055038,tinf2
brdn0000734629,krt19
brdn0000733909,nf1
brdn0000735253,ctsk
brdn0000733080,hdac3
brdn0001053832,ctsk
brdn0000733740,hdac2
brdn0000734247,mttp
brdn0000735973,cic
brdn0000733153,jun
brdn0000735608,fn1
brdn0001054873,tinf2
brdn0000579719,jun
brdn0000733424,hdac2
brdn0000735216,krt19
brdn0000990360,cdh1
brdn0000735581,smad3
brdn0001055093,tlk2
brdn0000735953,mapkapk2
brdn0001054765,tlk2
brdn0000735647,smad3
brdn0000735610,tgfbr1
brdn0000736141,insm2
brdn0001054891,igf2bp2
brdn0001054881,ppp2r2c
brdn0001055063,egfr
brdn0001054936,kit
brdn0001054959,egfr
brdn0001054804,pik3ca
brdn0001054763,erg
brdn0001054830,mast4
brdn0001054869,crkl
brdn0001054841,rps6
brdn0001054967,camk1
brdn0000734962,mtor
brdn0000735218,mtor
brdn0001054777,exo1
brdn0001054931,pfdn2
brdn0001054762,braf
brdn0001054821,rps6
